reservoir_size,density,input_scaling,spectral_radius,beta,training_time,rmse,nrmse
200,0.2,0.3,1.0,0.0001,0.8008637000000001,6.482114036617415,0.5231602661771727
250,0.1,0.1,0.9,0.01,0.98303385,6.350940996030981,0.512573515860716
250,0.1,0.1,0.9,0.001,0.9622978333333333,6.341427589731735,0.5118057052138113
250,0.1,0.1,0.9,0.0001,0.9638375499999999,6.323117546468125,0.5103279331392391
250,0.1,0.1,0.95,0.01,0.9618275333333333,6.347054247847812,0.5122598231051452
250,0.1,0.1,0.95,0.001,0.9431269333333333,6.33733514807899,0.5114754112923731
250,0.1,0.1,0.95,0.0001,0.9482646666666666,6.320514761157644,0.5101178668170268
250,0.1,0.1,1.0,0.01,0.9491777333333334,6.345840590928892,0.5121618709442972
250,0.1,0.1,1.0,0.001,0.95567655,6.335017752464875,0.5112883782813107
250,0.1,0.1,1.0,0.0001,0.97224005,6.319314532284141,0.5100209984106105
250,0.1,0.2,0.9,0.01,0.9589057166666667,6.415023850426596,0.5177455327326219
250,0.1,0.2,0.9,0.001,0.9594211666666667,6.394615284249945,0.5160983924859435
250,0.1,0.2,0.9,0.0001,0.9586101166666666,6.391270484992538,0.5158284394953097
250,0.1,0.2,0.95,0.01,0.95748575,6.420283765820339,0.5181700514501135
250,0.1,0.2,0.95,0.001,0.9666227166666667,6.39952660429475,0.5164947766728626
250,0.1,0.2,0.95,0.0001,0.9654244833333333,6.395726467432939,0.5161880741679539
250,0.1,0.2,1.0,0.01,0.9660423333333333,6.4261061908942025,0.5186399693556352
250,0.1,0.2,1.0,0.001,0.9735876166666666,6.405097980840304,0.5169444328837962
250,0.1,0.2,1.0,0.0001,0.9773091333333334,6.40074501347484,0.5165931123805295
250,0.1,0.3,0.9,0.01,0.9677044666666668,6.5210100940881635,0.5262995000235211
250,0.1,0.3,0.9,0.001,0.8832039500000001,6.500190033890958,0.524619148802752
250,0.1,0.3,0.9,0.0001,0.9247826666666668,6.462768041028916,0.5215988841736523
250,0.1,0.3,0.95,0.01,0.9613630333333333,6.512841807348604,0.5256402516609129
250,0.1,0.3,0.95,0.001,0.95714855,6.493603231399582,0.5240875393115924
250,0.1,0.3,0.95,0.0001,0.9583972500000001,6.455521571138783,0.5210140340622301
250,0.1,0.3,1.0,0.01,0.9627717333333333,6.505428277591701,0.5250419184352053
250,0.1,0.3,1.0,0.001,0.9568600833333334,6.487812116925861,0.5236201484307131
250,0.1,0.3,1.0,0.0001,0.9612160333333333,6.4492682246664454,0.5205093372323865
250,0.15,0.1,0.9,0.01,0.9522893666666667,6.359300837664065,0.5132482242890555
250,0.15,0.1,0.9,0.001,0.9231297666666667,6.348916893736234,0.5124101540486116
250,0.15,0.1,0.9,0.0001,0.9792704000000001,6.3263399451005355,0.5105880073861186
250,0.15,0.1,0.95,0.01,0.9672210666666667,6.361655885970816,0.5134382961841285
250,0.15,0.1,0.95,0.001,0.9654411166666667,6.352023878178841,0.5126609134148955
250,0.15,0.1,0.95,0.0001,0.9488572666666666,6.330595848247956,0.5109314940034246
250,0.15,0.1,1.0,0.01,0.9244160666666666,6.363836491702753,0.513614289119258
250,0.15,0.1,1.0,0.001,0.94761235,6.35521740717035,0.5129186576427515
250,0.15,0.1,1.0,0.0001,0.9617950333333333,6.334877319647472,0.5112770441903463
250,0.15,0.2,0.9,0.01,0.96767075,6.461843462399881,0.5215242630239879
250,0.15,0.2,0.9,0.001,0.9689739833333333,6.421229182036882,0.5182463543655977
250,0.15,0.2,0.9,0.0001,0.9560346000000001,6.408062008973975,0.5171836544924578
250,0.15,0.2,0.95,0.01,0.97525055,6.459679772981355,0.5213496353753958
250,0.15,0.2,0.95,0.001,0.9679169000000001,6.4200395416516995,0.5181503405378478
250,0.15,0.2,0.95,0.0001,0.97553765,6.407303542737813,0.5171224399880916
250,0.15,0.2,1.0,0.01,0.9719358166666667,6.45755864576323,0.5211784428487353
250,0.15,0.2,1.0,0.001,0.9655741333333334,6.418438261999183,0.5180211040133895
250,0.15,0.2,1.0,0.0001,0.9574191666666666,6.40600685116491,0.5170177862432489
250,0.15,0.3,0.9,0.01,0.9603462,6.527492519327178,0.5268226854063081
250,0.15,0.3,0.9,0.001,0.9692183833333333,6.515802059623928,0.5258791685265468
250,0.15,0.3,0.9,0.0001,0.9781755000000001,6.498989379510844,0.5245222460544295
250,0.15,0.3,0.95,0.01,0.9661172833333332,6.528977617441498,0.5269425451188028
250,0.15,0.3,0.95,0.001,0.9663968166666667,6.516820151107309,0.525961336937721
250,0.15,0.3,0.95,0.0001,0.9724171833333333,6.498228244076361,0.5244608161236614
250,0.15,0.3,1.0,0.01,0.96314585,6.5299759926951575,0.5270231222670138
250,0.15,0.3,1.0,0.001,0.9726078333333333,6.517363513441655,0.5260051907764318
